part_id,Bathroom,Bedroom,Diningroom,Hall,Kitchen,Livingroom,Office,Outdoor
1001,5.6,14.0,0.0,17.3,2.2,43.7,0.0,16.9
1003,30.3,0.0,0.0,0.0,1.1,42.1,0.0,26.3
1005,0.0,0.0,0.0,27.9,0.0,68.9,0.0,3.1
1006,25.3,17.6,0.0,0.5,42.5,7.2,0.0,6.6
1007,0.6,10.0,0.0,0.4,34.9,42.3,0.0,11.4
1022,0.0,4.3,0.0,4.0,10.6,80.8,0.0,0.0
1023,0.0,0.0,0.0,1.5,36.3,45.8,0.0,16.2
1030,0.0,16.5,0.0,5.9,15.9,46.9,0.0,14.5
1035,0.4,0.0,0.0,14.6,12.4,44.8,0.0,27.6
1036,0.0,0.0,0.0,0.0,0.0,38.9,0.0,61.0
1038,0.3,31.6,0.0,0.1,38.5,20.0,0.0,9.3
1039,0.6,12.5,0.0,0.6,62.9,15.0,0.0,8.2
1040,0.0,0.0,0.0,12.8,79.3,0.3,0.0,7.2
1041,0.0,56.6,0.0,24.6,0.5,14.1,0.0,4.0
1043,0.0,34.8,0.0,3.2,0.1,3.3,0.0,58.4
1044,0.0,0.0,0.0,12.0,2.6,83.9,0.0,1.3
1049,1.8,24.9,0.0,0.0,10.9,59.9,0.0,2.1
1051,0.7,17.1,0.0,36.7,0.3,13.2,0.0,31.8
1054,0.0,0.0,0.0,0.0,18.6,81.3,0.0,0.0
1055,23.0,34.6,0.0,7.9,3.3,29.9,0.0,0.9
1066,5.8,23.7,0.0,0.0,20.4,45.1,0.0,4.9
1068,0.0,1.2,0.0,0.0,7.6,90.7,0.0,0.3
1084,0.0,0.0,0.0,0.0,0.1,99.8,0.0,0.0
1085,0.0,0.0,0.0,56.1,0.2,43.5,0.0,0.0
1086,14.8,0.0,0.0,59.5,0.0,25.5,0.0,0.0
1088,0.0,0.1,0.0,0.1,2.0,25.1,0.0,72.5
1089,0.0,40.4,0.0,23.8,0.0,35.7,0.0,0.0
1090,0.0,0.0,0.0,99.8,0.1,0.0,0.0,0.0
1091,0.0,59.6,0.0,0.0,0.0,0.0,0.0,40.2
1092,28.2,0.0,0.0,0.0,46.2,0.0,0.0,25.3
1094,22.2,0.0,0.0,0.0,20.1,57.5,0.0,0.0
1095,0.0,0.0,0.0,0.0,0.0,51.0,0.0,48.9
1101,11.9,28.0,0.0,0.0,26.4,32.9,0.0,0.5
1103,0.0,57.2,0.0,0.0,0.0,42.7,0.0,0.0
1104,19.8,16.2,0.0,0.0,16.2,0.0,0.0,47.5
1109,0.0,9.0,0.0,0.0,82.0,8.9,0.0,0.0
1110,0.4,0.3,0.0,0.0,0.0,19.6,0.0,79.5
1111,7.4,0.1,0.0,0.0,12.5,79.8,0.0,0.0
1112,5.7,0.1,0.0,18.1,15.3,60.5,0.0,0.0
1113,0.0,0.0,0.0,0.0,46.8,53.1,0.0,0.0
1115,0.0,34.3,0.0,0.0,0.0,65.5,0.0,0.0
1117,0.0,40.7,0.0,47.7,8.6,2.9,0.0,0.0
1119,0.0,0.0,0.0,37.3,62.2,0.3,0.0,0.0
1120,0.0,0.0,0.0,0.0,78.0,21.9,0.0,0.0
1123,1.4,24.7,0.0,10.8,19.0,26.4,0.0,17.5
1124,9.5,27.7,0.0,7.4,34.3,14.2,0.0,6.7
1126,0.0,6.2,0.0,6.6,6.7,54.6,0.0,25.7
1128,8.4,1.7,0.0,0.0,69.6,1.6,0.0,18.4
1131,8.1,0.0,0.0,0.0,48.6,30.1,0.0,13.0
1191,23.6,50.2,0.0,0.0,26.0,0.0,0.0,0.0
1234,0.0,0.0,0.0,0.0,71.0,28.9,0.0,0.0
1507,0.0,0.0,0.0,20.1,9.3,7.4,0.0,63.0
1509,1.0,9.4,0.0,19.5,41.0,11.5,0.0,17.3
1510,0.3,27.4,0.0,0.0,47.2,23.3,0.0,1.4
1514,0.8,10.6,0.0,0.0,2.2,83.8,0.0,2.3
1515,0.0,0.0,0.0,0.2,33.1,44.2,0.0,22.3
1518,1.2,4.6,0.0,36.5,27.9,20.3,0.0,9.2
1526,5.8,22.8,0.0,15.6,16.9,38.7,0.0,0.0
1558,0.0,0.0,0.0,0.0,0.1,55.6,0.0,44.1
2005,0.0,0.0,0.0,0.0,33.3,66.6,0.0,0.0
2006,0.0,57.4,0.0,0.0,0.2,0.2,0.0,42.0
2012,0.0,0.0,0.0,0.0,68.6,13.2,0.0,18.1
2013,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,51.4,48.5,0.0,0.0
2016,0.0,0.9,0.0,0.0,23.3,74.7,0.0,0.8
2017,0.0,0.0,0.0,0.0,40.2,59.7,0.0,0.0
2020,0.0,26.5,0.0,0.0,48.4,24.8,0.0,0.1
2021,0.0,0.0,0.0,0.0,57.1,42.6,0.0,0.1
2022,5.7,30.2,0.0,0.0,16.9,24.6,0.0,22.4
2024,0.4,0.0,0.0,0.0,49.5,49.7,0.0,0.2
2025,0.0,83.8,0.0,0.0,8.5,0.9,0.0,6.6
2026,0.0,15.0,0.0,0.0,12.8,18.4,0.0,53.5
2027,0.0,0.0,0.0,0.0,39.9,59.9,0.0,0.0
2029,0.0,0.0,0.0,0.0,81.1,0.0,0.0,18.7
2030,0.1,9.0,0.0,0.0,30.9,36.1,0.0,23.6
2032,0.8,6.5,0.0,0.0,17.9,45.0,2.4,27.2
2033,1.8,9.0,0.0,0.0,50.3,7.9,0.0,30.7
2035,0.0,0.0,0.0,0.0,99.7,0.2,0.0,0.0
2036,4.8,5.6,0.0,0.0,52.3,36.9,0.0,0.2
2037,0.0,0.0,0.0,0.0,59.3,40.6,0.0,0.0
2038,0.0,15.3,0.0,0.0,18.5,1.6,0.0,64.3
2039,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0
2040,0.1,1.8,0.0,0.0,49.5,37.7,0.0,10.6
2042,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2043,0.0,1.6,0.0,0.0,24.5,0.6,0.0,73.2
2044,0.0,0.0,0.0,0.0,99.2,0.7,0.0,0.0
2047,0.0,0.0,0.0,0.0,41.1,13.6,0.0,45.2
2048,43.2,20.0,0.0,0.0,14.2,8.4,0.0,14.0
2049,0.6,20.4,0.0,0.0,0.0,61.4,0.0,17.3
2050,27.0,5.7,0.0,0.0,43.6,14.5,0.0,9.0
2051,1.0,3.2,0.0,0.0,44.2,37.9,0.0,13.3
2053,5.2,23.3,0.0,0.0,9.6,45.7,0.0,15.9
2054,0.0,0.0,0.0,0.0,40.4,42.6,0.0,16.9
2055,0.0,0.0,0.0,0.0,8.2,46.4,0.0,45.2
2056,11.0,18.1,0.0,0.0,61.9,8.7,0.0,0.0
2058,1.3,6.2,0.0,0.0,52.4,26.5,0.0,13.4
2060,0.4,7.0,0.0,0.0,31.7,39.3,0.0,21.4
2063,0.2,35.2,0.0,0.0,27.6,26.4,0.0,10.4
2064,8.5,4.5,0.0,0.0,19.4,41.2,0.0,26.2
2067,1.9,3.0,0.0,0.0,35.5,17.0,0.0,42.3
2068,26.7,2.2,0.0,0.0,27.6,34.3,0.0,9.1
2069,0.0,0.0,0.0,0.0,49.5,0.0,0.0,50.4
2070,0.0,4.5,0.0,0.0,45.1,22.5,0.0,27.7
2071,0.0,0.0,0.0,0.0,10.9,19.0,0.0,69.9
2072,0.0,8.3,0.0,0.0,18.6,26.1,0.4,46.3
2073,0.0,0.0,0.0,0.0,36.6,63.3,0.0,0.0
2077,8.6,34.5,0.0,0.0,36.2,0.6,0.0,19.9
2079,0.1,7.0,0.0,0.0,34.1,0.5,0.0,57.9
2081,10.4,17.2,0.0,0.0,22.0,44.0,0.0,6.2
2082,0.2,14.4,0.0,0.0,34.9,45.2,0.0,5.0
2083,2.8,4.7,0.0,0.0,75.7,6.7,0.0,9.9
2085,5.3,16.3,5.6,0.0,52.8,4.3,0.0,15.4
2086,13.1,12.6,0.0,0.0,45.1,22.1,0.0,6.8
2087,0.1,0.0,0.0,0.0,0.0,61.0,0.0,38.8
2088,0.1,0.6,0.0,0.0,48.6,41.5,0.0,9.0
2089,0.0,0.4,0.0,0.0,62.1,10.1,0.0,27.2
2090,0.1,17.4,0.0,0.0,26.2,28.1,0.0,28.0
2091,0.1,1.5,0.0,0.0,50.9,23.0,0.0,24.3
2092,7.8,3.8,0.0,0.0,48.3,32.1,0.0,7.7
2093,0.1,13.3,0.0,0.0,61.4,22.9,0.0,2.1
2094,18.1,10.6,0.0,0.0,52.2,8.7,0.0,10.2
2095,0.0,0.1,0.0,0.0,61.8,24.9,0.0,13.0
2096,0.0,14.0,0.0,0.0,43.4,8.4,0.0,34.0
2097,0.3,8.7,0.0,0.0,54.0,18.6,0.0,18.2
2098,1.8,13.5,0.0,0.0,34.9,14.2,0.0,35.2
2099,13.4,11.7,0.0,0.0,44.9,0.9,0.0,28.8
2100,16.0,13.8,0.0,0.3,37.9,9.0,0.0,22.7
